Synthetic_ID,Department,Years_of_Experience,Overtime_Hours,Absenteeism_Days,Patient_Load,Workdays_per_Month,Previous_Satisfaction_Rating,Overtime_Ratio,Workload_Intensity,Shift_Duration_Hours,Primary_Shift_Type,Scheduling_Assignments,Weekend_Work_Frequency,Consecutive_Assignments,Consecutive_Work_Days,Consecutive_Days_Off,Skill_Diversity,Contract_Flexibility,INRC_Shift_Pattern,INRC_Expected_Hours,Satisfaction_Score,Workload_Complexity,Scheduling_Stress_Index,Work_Life_Balance_Score,Skill_Utilization,Shift_Pattern_Consistency,Duration_Alignment,Scheduling_Harmony_Score
SYNTH_00000,Pediatrics,17,11,3,9,17,3.44,1.099999890000011,0.5666666666666667,10,Day,0,0,0,0,5,2.0,HalfTime,Day,8,1.56,0.0,0.4399999560000044,5.0,200.0,1,0,1.6400000109999988
SYNTH_00001,General Medicine,9,4,2,17,22,3.19,0.3333333055555579,0.7333333333333333,12,Late,0,0,0,0,2,2.0,HalfTime,Day,8,2.78,0.0,0.13333332222222316,2.0,200.0,0,0,0.7166666694444442
SYNTH_00002,ER,10,8,3,21,19,2.0,0.9999998750000156,0.6333333333333333,8,Early,0,0,0,0,2,1.0,FullTime,Day,8,3.5,0.0,0.39999995000000627,2.0,100.0,0,1,0.9000000124999985
SYNTH_00003,Pediatrics,10,8,2,22,24,2.37,0.9999998750000156,0.8,8,Early,0,0,3,3,0,0.0,0,Night,12,2.96,0.0,0.5285713785714348,0.0,0.0,0,0,0.11785715535714131
SYNTH_00004,Pediatrics,7,9,4,12,21,4.41,1.1249998593750177,0.7,8,Early,0,0,0,0,2,1.0,FullTime,Day,8,2.61,0.0,0.44999994375000707,2.0,100.0,0,1,0.8875000140624982
SYNTH_00005,General Medicine,16,18,4,17,18,3.24,2.249999718750036,0.6,8,Early,0,0,0,0,3,1.0,PartTime,Day,8,4.98,0.0,0.8999998875000144,3.0,100.0,0,1,1.0250000281249965
SYNTH_00006,ER,18,0,4,23,18,3.06,0.0,0.6,8,Early,0,0,0,0,2,0.0,0,Day,8,4.52,0.0,0.0,2.0,0.0,0,1,1.0
SYNTH_00007,ER,6,6,1,7,22,1.4,0.7499999062500118,0.7333333333333333,8,Early,0,0,1,3,0,1.0,PartTime,Night,12,3.49,0.0,0.42857139107143327,0.0,100.0,0,0,0.14285715223214168
SYNTH_00008,Pediatrics,1,3,2,12,28,1.06,0.3749999531250059,0.9333333333333332,8,Early,0,0,4,4,0,1.0,FullTime,Night,12,3.28,0.0,0.32142855267857373,0.0,100.0,0,0,0.16964286183035657
SYNTH_00009,ICU,1,0,1,6,22,4.85,0.0,0.7333333333333333,10,Day,0,0,2,2,0,2.0,FullTime,Night,12,3.48,0.0,0.0857142857142857,0.0,200.0,0,0,0.22857142857142856
